"5b67","<C_YELLOW>補佐官<C_NONE>
今までは わが国の兵士たちも かなり頼りになると 思っていたのです。

しかし 大統領の おっしゃるように
もっと きびしくしなければ ならないと痛感しております。",""
"5c0a","<C_YELLOW>役人<C_NONE>
兵士たちの 訓練を強化するには
いろいろと 手続きが 必要なんだよ。ああ 忙しい 忙しい。",""
"5c66","<C_YELLOW>役人<C_NONE>
ふぅ ･ ･ ･ お役所仕事も 疲れるよ。こうやって 一日中 ボーっと
してなけりゃ ならないんだもんな。

こうやって ボーっとしてて かれこれ２０年になるかなぁ。",""
"5d03","<C_YELLOW>役人<C_NONE>
ハンス大統領は 国民の声を 親身に
なって きいてくれる とてもいい
大統領なのよ。",""
"5d59","<C_YELLOW>女<C_NONE>
昔 英雄たちの手で 滅ぼされた
悪神が 復活したという うわさを
きいたけど 本当なのかしら。",""
"5db6","<C_YELLOW>ジーラ<C_NONE>
むむむっ お前さんがた 旅人じゃな？いい話をきかせてやろう。

女神 フレイアさまは その昔 我々の
祖先を 悪神のやみの力から 救いだしこの地にお導きくだされたのじゃ。

そして 祖先に ことばを与え
多くの知恵を 授けてくださった。

フレイアさまは 我々人間 すべての
偉大な母にあたる お方なのじゃよ。

どうじゃな 感動したか？",""
"5ef5","<C_YELLOW>娘<C_NONE>
うちの おばあちゃんて 昔の話を
よく知ってるのよ。

おかげで 私も いろいろな話を
覚えちゃったわ。",""
"5f5a","<C_YELLOW>女<C_NONE>
よかったわぁ また平和になって。",""
"5f7f","<C_YELLOW>兵士<C_NONE>
狼の口に 逃げていた 盗賊たちが
ファンガスの町を 再建しようと
しているそうです。",""
"5fd6","<C_YELLOW>兵士<C_NONE>
これから 訓練をきびしくするって
話だけど 今でも かなりきびしく
やってるんだぜ。",""
"5ac8","<C_YELLOW>ハンス<C_NONE>
先日 セリオスさまたちが ここに
おいでになりましたよ。

もうすぐ 大発表があるそうですが
セリオスさまたちが 行方不明に
なったことと 関係があるそうです。",""
"602d","<C_YELLOW>呪文屋<C_NONE>
いらっしゃいませ。<RET_N>",""
"6049","また お願いします。",""
"605d","お客さん もう持てませんわよ。

<RET>",""
"607c","何を お求めですか？
<RET_N>",""
"6091","<ITEM>ですね。
ありがとう ございます。

<RET>",""
