"5b39","<X1e>補佐官<X04>
今までは わが国の兵士たちも かなり頼りになると 思っていたのです。

しかし 大統領の おっしゃるように
もっと きびしくしなければ ならないと痛感しております。",""
"5bdc","<X1e>役人<X04>
兵士たちの 訓練を強化するには
いろいろと 手続きが 必要なんだよ。ああ 忙しい 忙しい。",""
"5c38","<X1e>役人<X04>
ふぅ ･ ･ ･ お役所仕事も 疲れるよ。こうやって 一日中 ボーっと
してなけりゃ ならないんだもんな。

こうやって ボーっとしてて かれこれ２０年になるかなぁ。",""
"5cd5","<X1e>役人<X04>
ハンス大統領は 国民の声を 親身に
なって きいてくれる とてもいい
大統領なのよ。",""
"5d2b","<X1e>女<X04>
昔 英雄たちの手で 滅ぼされた
悪神が 復活したという うわさを
きいたけど 本当なのかしら。",""
"5d88","<X1e>ジーラ<X04>
むむむっ お前さんがた 旅人じゃな？いい話をきかせてやろう。

女神 フレイアさまは その昔 我々の
祖先を 悪神のやみの力から 救いだしこの地にお導きくだされたのじゃ。

そして 祖先に ことばを与え
多くの知恵を 授けてくださった。

フレイアさまは 我々人間 すべての
偉大な母にあたる お方なのじゃよ。

どうじゃな 感動したか？",""
"5ec7","<X1e>娘<X04>
うちの おばあちゃんて 昔の話を
よく知ってるのよ。

おかげで 私も いろいろな話を
覚えちゃったわ。",""
"5f2c","<X1e>女<X04>
よかったわぁ また平和になって。",""
"5f51","<X1e>兵士<X04>
ずっと前の 大地震で 水晶の塔という歴史ある塔が 倒れてしまったんだ。

大統領は 何とかして 復元しようと
思っているらしい。",""
"5fd0","<X1e>兵士<X04>
これから 訓練をきびしくするって
話だけど 今でも かなりきびしく
やってるんだぜ。",""
"5ac8","<X1e>ハンス<X04>
先日のことを 考えますと これからはもっと 兵士の訓練を 強化しなければならないのではと 考えているのです。",""
"6027","<X1e>呪文屋<X04>
いらっしゃいませ。<RETN>",""
"6043","また お願いします。",""
"6057","お客さん もう持てませんわよ。

<RET_IL>",""
"6076","何を お求めですか？
<RETN>",""
"608b","<X0e>ですね。
ありがとう ございます。

<RET_IL>",""
